Customer,WC Subsidiary,Billing Period,Sales Revenue,Commission Revenue,Gross Payment Volume,Gross Margin,Transaction Margin,Transaction Count
SOKOL,CPSME,Mar-17,18427.47427,7211.450516,560801.35,0.391342319,0.012859189,22064
CYBERPL,CPSME,Mar-17,29263.54396,12790.00496,823677.16,0.437062749,0.015527934,35457
MOLOTOK,CPSME,Mar-17,22533.63662,9765.832116,638390.18,0.433389083,0.015297591,23418
FIRSTCAG,CPSME,Mar-17,157718.9008,99828.84452,2894502.65,0.632954224,0.034489118,216704
PONPARE,CPSME,Apr-17,0,0,0,0,0,0
PONPARE,CPSME,Apr-17,192714.9739,88534.49352,5209023.708,0.459406406,0.01699637,370976
SHAREE,CPSME,Apr-17,41290.36972,30427.78227,543129.015,0.736922011,0.056023121,91486
PIKU,CPSME,Apr-17,17188.34582,10154.38621,351697.9275,0.59077158,0.028872465,33045
RAKUTEN,CPSME,Apr-17,1780543.579,1367936.075,20630375.24,0.768268798,0.066306893,3529895
DENA,CPSME,Apr-17,710546.6202,374410.9877,16806781.58,0.52693374,0.022277376,1189031
DENA,CPSME,Apr-17,1484378.9,854238.7308,31507008.39,0.575485633,0.027112658,3546824
AIRTEL,CPSME,Apr-17,1054951.264,666678.7283,19413626.74,0.631952159,0.034340762,1930982
ETIS,CPSME,Apr-17,521139.9462,259248.7495,13094559.69,0.497464743,0.019798203,930159
PAYTURE,CPSME,Apr-17,66192.04398,40996.74988,1259764.47,0.619360688,0.032543186,49252
TOMB,CPSME,Apr-17,124922.1469,63803.29138,3055942.85,0.510744435,0.020878431,72715
1XBET,CPSME,Apr-17,359598.3322,192942.931,8332770.04,0.53655124,0.023154717,251932
GOLDF,CPSME,Apr-17,765808.6213,612998.8185,7640490.32,0.800459542,0.080230298,801881
MOBILMAT,CPSME,Apr-17,26750.06236,12994.44796,687780.48,0.485772623,0.018893307,41046
FOREXT,CPSME,Apr-17,57993.61794,26562.09014,1571576.26,0.45801747,0.01690156,75869
BANCBIN,CPSME,Apr-17,135604.3884,65002.67829,3530085.67,0.479355271,0.01841391,206051
SOKOL,CPSME,Apr-17,11188.86884,4899.051545,314490.91,0.437850476,0.015577721,12297
CYBERPL,CPSME,Apr-17,17833.76241,8066.931312,488341.37,0.452340405,0.016519041,21484
MOLOTOK,CPSME,Apr-17,11951.09797,5170.433467,339033.15,0.432632506,0.015250525,12479
FIRSTCAG,CPSME,Apr-17,59258.54042,30095.96372,1458128.89,0.507875548,0.020640126,108262
PONPARE,CPSME,May-17,0,0,0,0,0,0
PONPARE,CPSME,May-17,288412.3123,185309.2547,5155152.853,0.642515062,0.035946413,366516
SHAREE,CPSME,May-17,49926.99241,39249.96575,533851.0566,0.786147209,0.073522315,90206
PIKU,CPSME,May-17,17636.57488,10700.54554,346801.3248,0.606724696,0.030854973,32303
RAKUTEN,CPSME,May-17,1093581.433,686429.6175,20357590.75,0.627689532,0.033718608,3478582
DENA,CPSME,May-17,838145.7984,506566.5025,16578964.59,0.604389479,0.030554773,1174905
DENA,CPSME,May-17,2194169.113,1571584.337,31129238.66,0.716254881,0.050485794,3487474
AIRTEL,CPSME,May-17,1172204.487,789235.1884,19148465,0.67329139,0.04121663,1904724
ETIS,CPSME,May-17,743153.3216,485152.2624,12900052.74,0.6528293,0.037608549,912328
PAYTURE,CPSME,May-17,46873.38125,21997.87135,1243775.33,0.469304129,0.017686371,48519
TOMB,CPSME,May-17,105743.2288,45596.15445,3007353.81,0.431196919,0.015161553,71651
1XBET,CPSME,May-17,310439.8956,145782.0834,8232890.74,0.469598417,0.017707278,247157
GOLDF,CPSME,May-17,589639.1736,438989.0876,7532504.15,0.744504618,0.058279302,7865
MOBILMAT,CPSME,May-17,74165.25006,50447.98466,1185863.18,0.680210538,0.042541151,63855
FOREXT,CPSME,May-17,169939.6722,121832.9775,2405334.49,0.716918986,0.050651158,116128
BANCBIN,CPSME,May-17,476099.4744,355255.9556,6042175.96,0.746180105,0.058796029,273033
SOKOL,CPSME,May-17,37165.77174,27425.77534,486999.88,0.737931006,0.056315774,17122
CYBERPL,CPSME,May-17,76063.01838,61982.93328,704004.17,0.814889214,0.088043418,35331
MOLOTOK,CPSME,May-17,59053.86479,47683.65499,568510.66,0.807460361,0.083874689,23421
FIRSTCAG,CPSME,May-17,453170.7872,402059.9377,2555542.65,0.887215039,0.157328596,185397
PONPARE,CPSME,Jun-17,0,0,0,0,0,0
PONPARE,CPSME,Jun-17,286863.4129,184371.8555,5124577.706,0.642716523,0.035977961,359874
SHAREE,CPSME,Jun-17,49710.99672,39090.56467,531021.2045,0.786356485,0.073613943,89125
PIKU,CPSME,Jun-17,17543.71558,10647.27239,344821.8384,0.60689951,0.030877605,31951
RAKUTEN,CPSME,Jun-17,1086806.136,682142.3816,20233187.7,0.627657831,0.033714034,3433500
DENA,CPSME,Jun-17,833471.4767,503684.0539,16489371.04,0.604320685,0.030545983,1154016
DENA,CPSME,Jun-17,2182928.007,1564283.657,30932217.39,0.71659883,0.050571339,3431422
AIRTEL,CPSME,Jun-17,1162829.743,782527.1507,19015129.8,0.672950753,0.041152869,1867046
ETIS,CPSME,Jun-17,739732.8745,483397.7214,12816757.86,0.653476056,0.037716069,902637
PAYTURE,CPSME,Jun-17,46506.44034,21797.96064,1235423.99,0.46870843,0.017644113,47703
TOMB,CPSME,Jun-17,104993.4636,45198.44957,2989750.8,0.430488223,0.015117798,70097
1XBET,CPSME,Jun-17,308300.9915,144688.7217,8180613.66,0.469309946,0.017686781,243157
GOLDF,CPSME,Jun-17,586345.2404,436604.0668,7487058.84,0.744619444,0.058314497,776152
MOBILMAT,CPSME,Jun-17,79491.37894,53049.76514,1322080.46,0.667365013,0.040125973,72545
FOREXT,CPSME,Jun-17,182509.778,127505.506,2750213.4,0.698622876,0.046362041,131717
BANCBIN,CPSME,Jun-17,503311.1854,367991.0507,6766006.49,0.73114022,0.05438822,311567
SOKOL,CPSME,Jun-17,39438.34775,28411.92095,551321.56,0.720413571,0.05153421,19526
CYBERPL,CPSME,Jun-17,80047.25806,63930.87246,805819.52,0.798664114,0.079336465,41849
MOLOTOK,CPSME,Jun-17,61444.15433,48813.26273,631544.72,0.794432982,0.077291855,26921
FIRSTCAG,CPSME,Jun-17,466504.3495,409273.7253,2861531.14,0.877320277,0.14302613,214517
PONPARE,CPSME,Jul-17,0,0,0,0,0,0
PONPARE,CPSME,Jul-17,257210.2859,149646.367,5378195.942,0.581805531,0.02782464,381572
SHAREE,CPSME,Jul-17,54626.52861,43641.23822,549264.6131,0.798901913,0.079453941,92519
PIKU,CPSME,Jul-17,24693.31338,17577.90376,355770.4811,0.71184873,0.049407988,33428
RAKUTEN,CPSME,Jul-17,2242088.475,1821907.031,21009072.23,0.812593727,0.086720014,3618656
DENA,CPSME,Jul-17,904156.8692,562212.2696,17097229.95,0.621808326,0.032883237,1209579
DENA,CPSME,Jul-17,1521871.078,884016.1164,31892748.2,0.58087451,0.027718405,3590248
AIRTEL,CPSME,Jul-17,1417977.031,1017887.917,20004455.91,0.717845138,0.050883059,1977800
ETIS,CPSME,Jul-17,512297.982,247427.24,13243536.91,0.482975239,0.018682867,940741
PAYTURE,CPSME,Jul-17,64171.34885,38525.96285,1282269.44,0.600360808,0.030045138,50132
TOMB,CPSME,Jul-17,139706.2782,77737.64321,3098431.5,0.556436291,0.025089354,74420
1XBET,CPSME,Jul-17,402556.2479,232482.8366,8503670.71,0.577516404,0.027339116,259470
GOLDF,CPSME,Jul-17,835762.0665,678382.8789,7868959.36,0.81169379,0.086209986,825859
MOBILMAT,CPSME,Jul-17,26876.35278,12903.16553,698659.49,0.480093621,0.018468461,42299
FOREXT,CPSME,Jul-17,52958.44715,21128.34565,1591504.86,0.398960823,0.013275703,76831
BANCBIN,CPSME,Jul-17,149540.6432,77888.9927,3582582.42,0.520855007,0.021741019,209115
SOKOL,CPSME,Jul-17,12757.30175,6350.882496,320321.17,0.497823335,0.019826609,12627
CYBERPL,CPSME,Jul-17,17978.12193,7880.233927,504894.32,0.438323533,0.01560769,22212
MOLOTOK,CPSME,Jul-17,12877.3802,5951.133197,346312.28,0.462138502,0.017184297,12747
FIRSTCAG,CPSME,Jul-17,75577.20215,46039.9484,1476862.55,0.609177729,0.031174159,109653
PONPARE,CPSME,Aug-17,0,0,0,0,0,0
PONPARE,CPSME,Aug-17,283848.6191,174491.7696,5467842.474,0.614735313,0.031912362,385618
SHAREE,CPSME,Aug-17,68361.8843,57210.05014,557591.8807,0.836870586,0.102602014,94137
PIKU,CPSME,Aug-17,23567.5205,16339.39664,361406.1443,0.693301471,0.045210622,34062
RAKUTEN,CPSME,Aug-17,2167140.874,1740416.804,21336203.51,0.803093525,0.081571063,3686494
DENA,CPSME,Aug-17,1114479.142,767527.4169,17347591.27,0.688687107,0.044244034,1224605
DENA,CPSME,Aug-17,2377492.485,1732880.639,32230592.12,0.728869029,0.053765089,3633925
AIRTEL,CPSME,Aug-17,1615436.739,1208249.215,20359376.06,0.747939666,0.059346083,2002736
ETIS,CPSME,Aug-17,771354.1889,502826.0646,13426406.37,0.65187442,0.037450532,953497
PAYTURE,CPSME,Aug-17,43008.37967,17035.17192,1298660.31,0.3960896,0.013117496,51068
TOMB,CPSME,Aug-17,118238.8047,55638.12078,3130034.13,0.470557199,0.017775564,75781
1XBET,CPSME,Aug-17,365355.6491,192339.2568,8650819.41,0.526443911,0.022233646,263404
GOLDF,CPSME,Aug-17,625490.4041,465868.0063,7981119.65,0.744804402,0.05837126,835779
MOBILMAT,CPSME,Aug-17,52625.41641,38431.08566,709716.43,0.730276134,0.054149917,42869
FOREXT,CPSME,Aug-17,109628.0638,77345.51304,1614127.63,0.705526581,0.047917842,78302
BANCBIN,CPSME,Aug-17,194365.3593,121692.5548,3633640.18,0.626102075,0.033490535,211400
SOKOL,CPSME,Aug-17,16403.7243,9921.668301,324102.64,0.60484242,0.030612735,12860
CYBERPL,CPSME,Aug-17,22803.84188,12600.40638,510171.82,0.552556295,0.024698358,22450
MOLOTOK,CPSME,Aug-17,16597.01195,9553.310699,352185.25,0.575604255,0.027125811,12960
FIRSTCAG,CPSME,Aug-17,104515.035,74512.07576,1500147.97,0.712931644,0.049669817,111434
PONPARE,CPSME,Sep-17,0,0,0,0,0,0
PONPARE,CPSME,Sep-17,275337.2668,165390.5224,5497337.221,0.600683388,0.03008557,390364
SHAREE,CPSME,Sep-17,36591.10995,25377.72288,560669.2702,0.693548868,0.045263267,95922
PIKU,CPSME,Sep-17,26273.56471,19003.77863,363489.2393,0.723304159,0.052281544,34610
RAKUTEN,CPSME,Sep-17,2030546.41,1601332.138,21460713.65,0.788621295,0.07461691,3737226
DENA,CPSME,Sep-17,892710.5478,543877.3608,17441645.5,0.609242674,0.031182686,1237688
DENA,CPSME,Sep-17,1913892.572,1265275.673,32430845.11,0.661100676,0.039014576,3694170
AIRTEL,CPSME,Sep-17,1543578.399,1133690.435,20494398.04,0.734456012,0.055317089,2040427
ETIS,CPSME,Sep-17,573963.5161,303558.4381,13520253.94,0.528881069,0.022452125,967934
PAYTURE,CPSME,Sep-17,48972.56909,22843.37709,1306459.68,0.466452496,0.017484946,51845
TOMB,CPSME,Sep-17,119510.712,56526.80364,3149195.28,0.472985247,0.017949603,77001
1XBET,CPSME,Sep-17,312943.3381,138844.1485,8704959.32,0.443671846,0.015950005,266427
GOLDF,CPSME,Sep-17,524653.4157,364119.6094,8026690.18,0.694019325,0.045363606,851037
MOBILMAT,CPSME,Sep-17,36299.10261,22007.64186,714573.23,0.606286114,0.030798302,43566
FOREXT,CPSME,Sep-17,71400.98412,38914.80512,1624308.76,0.54501777,0.023957763,79369
BANCBIN,CPSME,Sep-17,220706.2452,147554.3417,3657595.34,0.668555353,0.040341899,215025
SOKOL,CPSME,Sep-17,13837.27398,7313.049734,326210.97,0.528503645,0.02241816,12999
CYBERPL,CPSME,Sep-17,23020.40182,12751.29582,513455.44,0.553912826,0.024834279,22726
MOLOTOK,CPSME,Sep-17,17585.71867,10495.48067,354511.92,0.596818411,0.029605438,13150
FIRSTCAG,CPSME,Sep-17,86059.91364,55875.73789,1509209.03,0.649265558,0.037023193,112804
PONPARE,CPSME,Oct-17,0,0,0,0,0,0
PONPARE,CPSME,Oct-17,350555.1353,240456.5409,5504929.795,0.685930733,0.043680219,390564
SHAREE,CPSME,Oct-17,72223.09746,60863.22912,567993.498,0.842711421,0.107154799,94911
PIKU,CPSME,Oct-17,32660.33731,25471.48108,359442.6934,0.779890325,0.070863817,34296
RAKUTEN,CPSME,Oct-17,2638076.908,2208040.491,21501820.83,0.836988673,0.102690861,3703528
DENA,CPSME,Oct-17,1131994.055,782813.8825,17459008.51,0.69153533,0.044837247,1247305
DENA,CPSME,Oct-17,1609180.772,956687.1594,32624680.83,0.59451814,0.029324031,3672644
AIRTEL,CPSME,Oct-17,1775814.052,1370245.868,20278409.38,0.771615624,0.067571664,2004885
ETIS,CPSME,Oct-17,570593.8291,302503.4996,13404516.61,0.530155575,0.022567281,952176
PAYTURE,CPSME,Oct-17,68849.23999,42647.76049,1310073.98,0.61943691,0.032553704,51219
TOMB,CPSME,Oct-17,155797.1489,92465.66202,3166574.23,0.593500347,0.029200535,76057
1XBET,CPSME,Oct-17,450915.6609,275155.4671,8788009.46,0.610214927,0.031310329,267017
GOLDF,CPSME,Oct-17,940035.5577,779602.809,8021637.39,0.829333319,0.097187491,841883
MOBILMAT,CPSME,Oct-17,30743.81154,16421.88404,716096.3,0.534152508,0.022932508,43355
FOREXT,CPSME,Oct-17,56328.81809,23816.27359,1625627.38,0.422807976,0.014650512,78478
BANCBIN,CPSME,Oct-17,183338.8063,110198.0136,3657039.71,0.601062131,0.030133119,214
SOKOL,CPSME,Oct-17,16033.17869,9490.295194,327144.14,0.591916012,0.029009522,12896
CYBERPL,CPSME,Oct-17,20301.11371,10070.79871,511515.8,0.496071243,0.019688148,22503
MOLOTOK,CPSME,Oct-17,15796.04662,8638.18712,357893.18,0.546857535,0.024136216,13178
FIRSTCAG,CPSME,Oct-17,99958.07459,69986.66859,1498570.24,0.700160231,0.046702294,111265
PONPARE,CPSME,Nov-17,0,0,0,0,0,0
PONPARE,CPSME,Nov-17,297536.7878,186238.1365,5564932.721,0.625933142,0.033466377,397781
SHAREE,CPSME,Nov-17,89820.56151,78339.05745,574075.3901,0.872172876,0.136461271,96717
PIKU,CPSME,Nov-17,29174.65573,21889.96173,364234.5985,0.750307456,0.060098524,34881
RAKUTEN,CPSME,Nov-17,2265150.846,1829822.405,21766421.95,0.807814812,0.084066293,3762284
DENA,CPSME,Nov-17,1409126.968,1056128.526,17649922.06,0.749491387,0.059837574,1266500
DENA,CPSME,Nov-17,2581247.157,1917202.284,33202243.77,0.742742623,0.057743154,3740185
AIRTEL,CPSME,Nov-17,2016407.68,1606673.65,20486701.48,0.796800005,0.078425199,2033205
ETIS,CPSME,Nov-17,844846.5232,572420.7733,13621287.37,0.677544095,0.042023985,963317
PAYTURE,CPSME,Nov-17,44479.971,17877.87275,1330105.13,0.401930855,0.013440947,5204
TOMB,CPSME,Nov-17,129283.3281,64949.56064,3216688.25,0.502381564,0.020191438,76982
1XBET,CPSME,Nov-17,415782.25,237130.0727,8932608.91,0.570322742,0.026546564,270312
GOLDF,CPSME,Nov-17,679639.513,517392.5635,8112347.7,0.76127499,0.063778401,857014
MOBILMAT,CPSME,Nov-17,63204.65202,48667.36677,726864.21,0.769996594,0.066955239,44027
FOREXT,CPSME,Nov-17,114884.369,81843.2255,1652057.34,0.712396527,0.049540185,79336
BANCBIN,CPSME,Nov-17,225964.6903,151959.7765,3700245.75,0.672493461,0.041067482,21758
SOKOL,CPSME,Nov-17,16840.75896,10225.97446,330738.98,0.607215772,0.030918564,13094
CYBERPL,CPSME,Nov-17,28186.91055,17797.10955,519490.04,0.631396247,0.034258808,22887
MOLOTOK,CPSME,Nov-17,18285.1813,11002.48905,364134.49,0.601716158,0.030215454,13367
FIRSTCAG,CPSME,Nov-17,112289.662,81955.35853,1516715.34,0.729856668,0.054034766,113366
PONPARE,CPSME,Dec-17,0,0,0,0,0,0
PONPARE,CPSME,Dec-17,289933.0827,177980.2269,5597642.84,0.61386657,0.031795567,405476
SHAREE,CPSME,Dec-17,51599.02567,40041.58475,577871.8953,0.776014358,0.069291456,98155
PIKU,CPSME,Dec-17,34388.22026,27061.57486,366332.209,0.786943164,0.073871678,35292
RAKUTEN,CPSME,Dec-17,2867560.9,2429243.539,21915868.17,0.847146277,0.110844048,3823901
DENA,CPSME,Dec-17,941039.1632,585753.7992,17764268.29,0.622454221,0.032973708,1284250
DENA,CPSME,Dec-17,2359986.116,1691494.252,33424593.05,0.716739069,0.050606278,3802482
AIRTEL,CPSME,Dec-17,1837458.381,1425559.275,20594955.52,0.775832144,0.069218857,2056456
ETIS,CPSME,Dec-17,729386.1971,455138.4731,13712386.09,0.624002037,0.033191778,982257
PAYTURE,CPSME,Dec-17,56202.65132,29429.01682,1338681.78,0.523623283,0.021983579,52716
TOMB,CPSME,Dec-17,130761.0985,66043.68632,3235870.74,0.505071363,0.020409865,77974
1XBET,CPSME,Dec-17,340937.6902,161116.6833,8991050.23,0.472569293,0.017919673,275341
GOLDF,CPSME,Dec-17,608599.6324,445241.0979,8167926.7,0.731582923,0.054510908,873202
MOBILMAT,CPSME,Dec-17,42900.34578,28262.24553,731904.81,0.658788292,0.038614647,44805
FOREXT,CPSME,Dec-17,82334.28227,49073.81677,1663023.42,0.596031391,0.029508795,80396
BANCBIN,CPSME,Dec-17,267558.2002,193095.3779,3723141.29,0.72169486,0.051863564,221149
SOKOL,CPSME,Dec-17,17225.43553,10571.62278,332690.51,0.613721654,0.031776148,13282
CYBERPL,CPSME,Dec-17,26757.40962,16299.50387,522895.43,0.609158514,0.031171632,23269
MOLOTOK,CPSME,Dec-17,19775.30334,12450.98034,366216.12,0.629622723,0.033998996,13615
FIRSTCAG,CPSME,Dec-17,108130.4444,77607.48839,1526147.84,0.717720979,0.050851881,114889
